#CNS11643,Sinopac,Unicode,Unisys,Word
02-447C,744F,744F,DEB8,瑏
02-447D,7450,7450,DEB9,瑐
02-4521,7442,7442,DEBB,瑂
02-4522,7446,7446,DEBC,瑆
02-4523,744D,744D,DEBD,瑍
02-4525,74E1,74E1,DEBF,瓡
02-4528,74FD,74FD,DEC2,瓽
02-4529,751D,751D,DEC3,甝
02-452A,7579,7579,DEC4,畹
02-452B,7577,7577,DEC5,畷
02-452D,75EF,75EF,DEC7,痯
02-452F,7603,7603,DEC9,瘃
02-4530,75F7,75F7,DECA,痷
02-4531,75FE,75FE,DECB,痾
02-4532,75FC,75FC,DECC,痼
02-4533,75F9,75F9,DECD,痹
02-4535,7610,7610,DECF,瘐
02-4538,75ED,75ED,DED2,痭
02-4539,75F5,75F5,DED3,痵
02-453A,75FD,75FD,DED4,痽
02-453B,7699,7699,DED5,皙
02-453D,76DD,76DD,DED7,盝
02-453F,775F,775F,DED9,睟
02-4540,7760,7760,DEDA,睠
02-4541,7752,7752,DEDB,睒
02-4542,7756,7756,DEDC,睖
02-4543,775A,775A,DEDD,睚
02-4544,7769,7769,DEDE,睩
02-4545,7767,7767,DEDF,睧
02-4546,7754,7754,DEE0,睔
02-4547,7759,7759,DEE1,睙
02-4548,776D,776D,DEE2,睭
02-4549,77E0,77E0,DEE3,矠
02-454A,7887,7887,DEE4,碇
02-454D,788F,788F,DEE7,碏
02-4552,78A1,78A1,DEEC,碡
02-455B,797D,797D,DEF5,祽
02-455C,7979,7979,DEF6,祹
02-455E,7A18,7A18,DEF8,稘
02-455F,7A19,7A19,DEF9,稙
02-4560,7A12,7A12,DEFA,稒
02-4561,7A17,7A17,DEFB,稗
02-4562,7A15,7A15,DEFC,稕
02-4563,7A22,7A22,DEFD,稢
02-4568,7AA2,7AA2,DF43,窢
02-4569,7A9E,7A9E,DF44,窞
02-456B,7B66,7B66,DF46,筦
02-456F,7B69,7B69,DF4A,筩
02-4570,7B72,7B72,DF4B,筲
02-4571,7B65,7B65,DF4C,筥
02-4572,7B73,7B73,DF4D,筳
02-4573,7B71,7B71,DF4E,筱
02-4575,7B61,7B61,DF50,筡
02-4578,7B63,7B63,DF53,筣
02-4579,7CB2,7CB2,DF54,粲
02-457A,7CB4,7CB4,DF55,粴
02-457B,7CAF,7CAF,DF56,粯
02-457D,7D86,7D86,DF58,綆
02-4622,7D7F,7D7F,DF5B,絿
02-4623,7D85,7D85,DF5C,綅
02-4628,7D7C,7D7C,DF61,絼
02-462A,7D94,7D94,DF63,綔
02-462B,7D84,7D84,DF64,綄
02-462D,7D92,7D92,DF66,綒
02-462E,7F6D,7F6D,DF67,罭
02-462F,7F6B,7F6B,DF68,罫
02-4630,7F67,7F67,DF69,罧
02-4632,7F6C,7F6C,DF6B,罬
02-4633,7FA6,7FA6,DF6C,羦
02-4638,8021,8021,DF71,耡
02-463A,8160,8160,DF73,腠
02-463B,8177,8177,DF74,腷
02-463D,8169,8169,DF76,腩
02-463E,815B,815B,DF77,腛
02-463F,8162,8162,DF78,腢
02-4640,8172,8172,DF79,腲
02-4642,815E,815E,DF7B,腞
02-4643,8176,8176,DF7C,腶
02-4644,8167,8167,DF7D,腧
02-4648,821D,821D,DFA3,舝
02-464A,8244,8244,DFA5,艄
02-464B,8240,8240,DFA6,艀
02-464C,8242,8242,DFA7,艂
02-464D,8245,8245,DFA8,艅
02-464E,84F1,84F1,DFA9,蓱
02-464F,843F,843F,DFAA,萿
02-4651,8476,8476,DFAC,葶
02-4655,8465,8465,DFB0,葥
02-4656,8451,8451,DFB1,葑
02-4657,8440,8440,DFB2,葀
02-4662,8507,8507,DFBD,蔇
02-4663,845E,845E,DFBE,葞
02-4665,843A,843A,DFC0,萺
02-4667,847A,847A,DFC2,葺
02-466B,8445,8445,DFC6,葅
02-466E,844B,844B,DFC9,葋
02-466F,842F,842F,DFCA,萯
02-4670,8442,8442,DFCB,葂
02-4672,845F,845F,DFCD,葟
02-4673,8470,8470,DFCE,葰
02-4675,844E,844E,DFD0,葎
02-4677,8452,8452,DFD2,葒
02-4678,846F,846F,DFD3,葯
02-467A,848E,848E,DFD5,蒎
02-467B,843B,843B,DFD6,萻
02-467E,8433,8433,DFD9,萳
02-4725,8460,8460,DFDE,葠
02-4726,8454,8454,DFDF,葔
02-4727,846E,846E,DFE0,葮
02-4728,8450,8450,DFE1,葐
02-472C,870C,870C,DFE5,蜌
02-472D,86FA,86FA,DFE6,蛺
02-472E,86D6,86D6,DFE7,蛖
02-472F,86F5,86F5,DFE8,蛵
02-4735,86F6,86F6,DFEE,蛶
02-4736,870D,870D,DFEF,蜍
02-4737,8705,8705,DFF0,蜅
02-4738,88D6,88D6,DFF1,裖
02-473C,88DE,88DE,DFF5,裞
02-473D,88DB,88DB,DFF6,裛
02-473E,88DA,88DA,DFF7,裚
02-473F,88CC,88CC,DFF8,裌
02-4746,89E1,89E1,E040,觡
02-4748,89E2,89E2,E042,觢
02-474C,8A86,8A86,E046,誆
02-474D,8A7F,8A7F,E047,詿
02-474E,8A61,8A61,E048,詡
02-474F,8A3F,8A3F,E049,訿
02-4750,8A77,8A77,E04A,詷
02-4751,8A82,8A82,E04B,誂
02-4752,8A84,8A84,E04C,誄
02-4754,8A83,8A83,E04E,誃
02-4755,8A81,8A81,E04F,誁
02-4757,8A7A,8A7A,E051,詺
02-4759,8C4B,8C4B,E053,豋
02-475A,8C4A,8C4A,E054,豊
02-475B,8C65,8C65,E055,豥
02-4765,8D8C,8D8C,E05F,趌
02-4767,8D8F,8D8F,E061,趏
02-4769,8D93,8D93,E063,趓
02-476A,8D94,8D94,E064,趔
02-476C,8D92,8D92,E066,趒
02-476E,8DE0,8DE0,E068,跠
02-476F,8DEC,8DEC,E069,跬
02-4775,8DE2,8DE2,E06F,跢
02-4777,8DF2,8DF2,E071,跲
02-4779,8DF4,8DF4,E073,跴
02-477C,8F01,8F01,E076,輁
02-477D,8F00,8F00,E077,輀
02-477E,8F05,8F05,E078,輅
02-4821,8F07,8F07,E079,輇
02-4822,8F08,8F08,E07A,輈
02-4827,9044,9044,E0A1,遄
02-4828,9049,9049,E0A2,遉
02-4829,903D,903D,E0A3,逽
02-482A,9110,9110,E0A4,鄐
02-482B,910D,910D,E0A5,鄍
02-482C,910F,910F,E0A6,鄏
02-4830,910B,910B,E0AA,鄋
02-4831,910E,910E,E0AB,鄎
02-4832,916E,916E,E0AC,酮
02-4837,923A,923A,E0B1,鈺
02-4838,9266,9266,E0B2,鉦
02-4839,9233,9233,E0B3,鈳
02-483A,9265,9265,E0B4,鉥
02-483B,925E,925E,E0B5,鉞
02-483C,9283,9283,E0B6,銃
02-4840,926D,926D,E0BA,鉭
02-4841,926C,926C,E0BB,鉬
02-4842,924F,924F,E0BC,鉏
02-4844,9267,9267,E0BE,鉧
02-4845,926F,926F,E0BF,鉯
02-4847,9261,9261,E0C1,鉡
02-4848,9270,9270,E0C2,鉰
02-4849,9231,9231,E0C3,鈱
02-484A,9254,9254,E0C4,鉔
02-484B,9263,9263,E0C5,鉣
02-4850,924C,924C,E0CA,鉌
02-4851,9256,9256,E0CB,鉖
02-4852,9232,9232,E0CC,鈲
02-4853,959F,959F,E0CD,閟
02-4856,959B,959B,E0D0,閛
02-4858,9693,9693,E0D2,隓
02-485C,96FA,96FA,E0D6,雺
02-485F,96F5,96F5,E0D9,雵
02-4860,9773,9773,E0DA,靳
02-4861,9777,9777,E0DB,靷
02-4862,9778,9778,E0DC,靸
02-4867,98AC,98AC,E0E1,颬
02-4868,98F6,98F6,E0E2,飶
02-4869,98F9,98F9,E0E3,飹
02-486A,99AF,99AF,E0E4,馯
02-486B,99B2,99B2,E0E5,馲
02-486C,99B0,99B0,E0E6,馰
02-4870,9B5B,9B5B,E0EA,魛
02-4871,9CEA,9CEA,E0EB,鳪
02-4872,9CED,9CED,E0EC,鳭
02-4877,50D4,50D4,E0F1,僔
02-4878,50D7,50D7,E0F2,僗
02-4879,50E8,50E8,E0F3,僨
02-487A,50F3,50F3,E0F4,僳
02-487B,50DB,50DB,E0F5,僛
02-487C,50EA,50EA,E0F6,僪
02-4923,50F0,50F0,E0FB,僰
02-4924,50EF,50EF,E0FC,僯
02-4926,50E0,50E0,E0FE,僠
02-4927,51D8,51D8,E140,凘
02-4928,5280,5280,E141,劀
02-4929,5281,5281,E142,劁
02-492B,52EB,52EB,E144,勫
02-492E,5627,5627,E147,嘧
02-4933,560F,560F,E14C,嘏
02-4934,561C,561C,E14D,嘜
02-4936,5613,5613,E14F,嘓
02-4937,5602,5602,E150,嘂
02-4938,55FA,55FA,E151,嗺
02-4939,561D,561D,E152,嘝
02-493B,55FF,55FF,E154,嗿
02-493E,587C,587C,E157,塼
02-4943,587F,587F,E15C,塿
02-4944,5874,5874,E15D,塴
02-4948,5891,5891,E161,墑
02-4949,588E,588E,E162,墎
02-494B,5882,5882,E164,墂
02-494C,5888,5888,E165,墈
02-494E,5894,5894,E167,墔
02-4952,5ADC,5ADC,E16B,嫜
02-4955,5AD5,5AD5,E16E,嫕
02-4956,5AEA,5AEA,E16F,嫪
02-4957,5ADA,5ADA,E170,嫚
02-495A,5AF3,5AF3,E173,嫳
02-495B,5AE2,5AE2,E174,嫢
02-495D,5ADB,5ADB,E176,嫛
02-495F,5ADE,5ADE,E178,嫞
02-4966,5BE3,5BE3,E1A1,寣
02-4967,5C63,5C63,E1A2,屣
02-4968,5D82,5D82,E1A3,嶂
02-4969,5D80,5D80,E1A4,嶀
02-496B,5D86,5D86,E1A6,嶆
02-496D,5D81,5D81,E1A8,嶁
02-496E,5D77,5D77,E1A9,嵷
02-496F,5D8A,5D8A,E1AA,嶊
02-4976,5D7F,5D7F,E1B1,嵿
02-4977,5E58,5E58,E1B2,幘
02-4978,5E59,5E59,E1B3,幙
02-4979,5E53,5E53,E1B4,幓
02-497B,5ED1,5ED1,E1B6,廑
02-497E,5EDC,5EDC,E1B9,廜
02-4A22,5ED9,5ED9,E1BB,廙
02-4A27,5F6F,5F6F,E1C0,彯
02-4A29,612C,612C,E1C2,愬
02-4A2C,615E,615E,E1C5,慞
02-4A32,616C,616C,E1CB,慬
02-4A37,615B,615B,E1D0,慛
02-4A39,613B,613B,E1D2,愻
02-4A3C,6156,6156,E1D5,慖
02-4A41,644D,644D,E1DA,摍
02-4A42,645B,645B,E1DB,摛
02-4A43,645D,645D,E1DC,摝
02-4A47,6473,6473,E1E0,摳
02-4A49,6475,6475,E1E2,摵
02-4A4A,6466,6466,E1E3,摦
02-4A4B,64A6,64A6,E1E4,撦
02-4A4C,644E,644E,E1E5,摎
02-4A50,644B,644B,E1E9,摋
02-4A54,647F,647F,E1ED,摿
02-4A55,643F,643F,E1EE,搿
02-4A5F,669F,669F,E1F8,暟
02-4A60,6705,6705,E1F9,朅
02-4A62,6722,6722,E1FB,朢
02-4A64,69B6,69B6,E1FD,榶
02-4A67,69CE,69CE,E241,槎
02-4A72,69BE,69BE,E24C,榾
02-4A74,69BF,69BF,E24E,榿
02-4A77,69A4,69A4,E251,榤
02-4A79,69B9,69B9,E253,榹
02-4A7C,69CF,69CF,E256,槏
02-4B21,69AA,69AA,E259,榪
02-4B22,69A1,69A1,E25A,榡
02-4B23,699E,699E,E25B,榞
02-4B27,69C2,69C2,E25F,槂
02-4B29,69A5,69A5,E261,榥
02-4B2A,69C6,69C6,E262,槆
02-4B2B,6B4A,6B4A,E263,歊
02-4B2C,6B4D,6B4D,E264,歍
02-4B2D,6B4B,6B4B,E265,歋
02-4B2E,6B9E,6B9E,E266,殞
02-4B31,6BC3,6BC3,E269,毃
02-4B32,6BC4,6BC4,E26A,毄
02-4B33,6BFE,6BFE,E26B,毾
02-4B37,6F03,6F03,E26F,漃
02-4B39,6EF8,6EF8,E271,滸
02-4B3A,6F37,6F37,E272,漷
02-4B3B,6EFB,6EFB,E273,滻
02-4B3C,6F2E,6F2E,E274,漮
02-4B3D,6F09,6F09,E275,漉
02-4B3E,6F4E,6F4E,E276,潎
02-4B41,6F27,6F27,E279,漧
02-4B42,6F18,6F18,E27A,漘
02-4B43,6F3B,6F3B,E27B,漻
02-4B46,6F0A,6F0A,E27E,漊
02-4B47,6F36,6F36,E2A1,漶
02-4B49,6EF9,6EF9,E2A3,滹
02-4B4A,6EEE,6EEE,E2A4,滮
02-4B4B,6F2D,6F2D,E2A5,漭
02-4B4D,6F30,6F30,E2A7,漰
02-4B4E,6F3C,6F3C,E2A8,漼
02-4B50,6EEB,6EEB,E2AA,滫
02-4B54,6F05,6F05,E2AE,漅
02-4B55,6EFD,6EFD,E2AF,滽
02-4B58,6F1C,6F1C,E2B2,漜
02-4B5C,6F0D,6F0D,E2B6,漍
02-4B5F,6F21,6F21,E2B9,漡
02-4B61,7190,7190,E2BB,熐
02-4B62,7189,7189,E2BC,熉
02-4B65,7182,7182,E2BF,熂
02-4B67,717B,717B,E2C1,煻
02-4B69,7181,7181,E2C3,熁
02-4B6A,7197,7197,E2C4,熗
02-4B6B,7244,7244,E2C5,牄
02-4B6C,7253,7253,E2C6,牓
02-4B6D,7297,7297,E2C7,犗
02-4B6E,7295,7295,E2C8,犕
02-4B71,734D,734D,E2CB,獍
02-4B72,7351,7351,E2CC,獑
02-4B73,734C,734C,E2CD,獌
02-4B75,7473,7473,E2CF,瑳
02-4B77,7475,7475,E2D1,瑵
02-4B79,7467,7467,E2D3,瑧
02-4B7A,746E,746E,E2D4,瑮
02-4B7B,7500,7500,E2D5,甀
02-4B7C,7502,7502,E2D6,甂
02-4B7D,7503,7503,E2D7,甃
02-4B7E,757D,757D,E2D8,畽
02-4C21,7590,7590,E2D9,疐
02-4C22,7616,7616,E2DA,瘖
02-4C24,760C,760C,E2DC,瘌
02-4C25,7615,7615,E2DD,瘕
02-4C26,7611,7611,E2DE,瘑
02-4C29,76B8,76B8,E2E1,皸
02-4C2D,7782,7782,E2E5,瞂
02-4C2E,776E,776E,E2E6,睮
02-4C31,777E,777E,E2E9,睾
02-4C32,7783,7783,E2EA,瞃
02-4C34,78AA,78AA,E2EC,碪
02-4C35,78B4,78B4,E2ED,碴
02-4C36,78AD,78AD,E2EE,碭
02-4C39,78AB,78AB,E2F1,碫
02-4C3D,78AC,78AC,E2F5,碬
02-4C3E,78A2,78A2,E2F6,碢
02-4C41,798A,798A,E2F9,禊
02-4C42,798B,798B,E2FA,禋
02-4C43,7996,7996,E2FB,禖
02-4C44,7995,7995,E2FC,禕
02-4C45,7994,7994,E2FD,禔
02-4C46,7993,7993,E2FE,禓
02-4C49,7992,7992,E342,禒
02-4C4A,7990,7990,E343,禐
02-4C4B,7A2B,7A2B,E344,稫
02-4C4D,7A30,7A30,E346,稰
02-4C4E,7A2F,7A2F,E347,稯
02-4C50,7A26,7A26,E349,稦
02-4C57,7B8A,7B8A,E350,箊
02-4C5C,7B8C,7B8C,E355,箌
02-4C5F,7B85,7B85,E358,箅
02-4C60,7B98,7B98,E359,箘
02-4C61,5284,5284,E35A,劄
02-4C62,7B99,7B99,E35B,箙
02-4C64,7B82,7B82,E35D,箂
02-4C66,7CBF,7CBF,E35F,粿
02-4C6C,7DA3,7DA3,E365,綣
02-4C6D,7DAA,7DAA,E366,綪
02-4C6E,7DC1,7DC1,E367,緁
02-4C71,7D9D,7D9D,E36A,綝
02-4C72,7DCE,7DCE,E36B,緎
02-4C74,7DC6,7DC6,E36D,緆
02-4C75,7DCB,7DCB,E36E,緋
02-4C76,7DCC,7DCC,E36F,緌
02-4C79,7D96,7D96,E372,綖
02-4C7C,7DA6,7DA6,E375,綦
02-4C7D,7DAE,7DAE,E376,綮
02-4C7E,7DA9,7DA9,E377,綩
02-4D22,7DC9,7DC9,E379,緉
02-4D25,7FE3,7FE3,E37C,翣
02-4D29,805D,805D,E3A2,聝
02-4D2A,805C,805C,E3A3,聜
02-4D2D,8183,8183,E3A6,膃
02-4D32,8215,8215,E3AB,舕
02-4D35,84A1,84A1,E3AE,蒡
02-4D39,84C2,84C2,E3B2,蓂
02-4D3A,84AC,84AC,E3B3,蒬
02-4D3D,84B9,84B9,E3B6,蒹
02-4D42,849A,849A,E3BB,蒚
02-4D45,849D,849D,E3BE,蒝
02-4D49,8494,8494,E3C2,蒔
02-4D4A,84C7,84C7,E3C3,蓇
02-4D4D,84A9,84A9,E3C6,蒩
02-4D50,84D6,84D6,E3C9,蓖
02-4D51,8498,8498,E3CA,蒘
02-4D53,84CF,84CF,E3CC,蓏
02-4D54,84A0,84A0,E3CD,蒠
02-4D56,84D4,84D4,E3CF,蓔
02-4D57,84D2,84D2,E3D0,蓒
02-4D58,84DB,84DB,E3D1,蓛
02-4D5B,8661,8661,E3D4,虡
02-4D5E,8728,8728,E3D7,蜨
02-4D5F,876B,876B,E3D8,蝫
02-4D62,871E,871E,E3DB,蜞
02-4D65,871B,871B,E3DE,蜛
02-4D66,8743,8743,E3DF,蝃
02-4D6F,873C,873C,E3E8,蜼
02-4D72,8731,8731,E3EB,蜱
02-4D75,8726,8726,E3EE,蜦
02-4D76,8727,8727,E3EF,蜧
02-4D79,871A,871A,E3F2,蜚
02-4D7A,8730,8730,E3F3,蜰
02-4D7D,88E7,88E7,E3F6,裧
02-4E21,88F2,88F2,E3F8,裲
02-4E22,88FA,88FA,E3F9,裺
02-4E23,88FE,88FE,E3FA,裾
02-4E27,88FB,88FB,E3FE,裻
02-4E28,88F0,88F0,E440,裰
02-4E29,88EC,88EC,E441,裬
02-4E2A,88EB,88EB,E442,裫
02-4E2B,899D,899D,E443,覝
02-4E2C,89A1,89A1,E444,覡
02-4E2D,899F,899F,E445,覟
02-4E2E,899E,899E,E446,覞
02-4E2F,89E9,89E9,E447,觩
02-4E31,89E8,89E8,E449,觨
02-4E32,8AAB,8AAB,E44A,誫
02-4E33,8A99,8A99,E44B,誙
02-4E37,8A96,8A96,E44F,誖
02-4E38,8C3D,8C3D,E450,谽
02-4E39,8C68,8C68,E451,豨
02-4E3A,8C69,8C69,E452,豩
02-4E3B,8CD5,8CD5,E453,賕
02-4E3C,8CCF,8CCF,E454,賏
02-4E3D,8CD7,8CD7,E455,賗
02-4E3E,8D96,8D96,E456,趖
02-4E3F,8E09,8E09,E457,踉
02-4E41,8DFF,8DFF,E459,跿
02-4E42,8E0D,8E0D,E45A,踍
02-4E43,8DFD,8DFD,E45B,跽
02-4E44,8E0A,8E0A,E45C,踊
02-4E47,8E06,8E06,E45F,踆
02-4E48,8E05,8E05,E460,踅
02-4E49,8DFE,8DFE,E461,跾
02-4E4C,8F10,8F10,E464,輐
02-4E4D,8F11,8F11,E465,輑
02-4E4E,8F0E,8F0E,E466,輎
02-4E55,911D,911D,E46D,鄝
02-4E56,911A,911A,E46E,鄚
02-4E5A,917A,917A,E472,酺
02-4E5B,9172,9172,E473,酲
02-4E5F,92A4,92A4,E477,銤
02-4E61,929B,929B,E479,銛
02-4E63,92A0,92A0,E47B,銠
02-4E66,928D,928D,E47E,銍
02-4E68,929A,929A,E4A2,銚
02-4E6A,9279,9279,E4A4,鉹
02-4E6B,9297,9297,E4A5,銗
02-4E6C,927F,927F,E4A6,鉿
02-4E6D,92A3,92A3,E4A7,銣
02-4E6E,92EE,92EE,E4A8,鋮
02-4E6F,928E,928E,E4A9,銎
02-4E71,9295,9295,E4AB,銕
02-4E72,92A2,92A2,E4AC,銢
02-4E73,927D,927D,E4AD,鉽
02-4E76,928A,928A,E4B0,銊
02-4E77,9286,9286,E4B1,銆
02-4E78,928C,928C,E4B2,銌
02-4E79,9299,9299,E4B3,銙
02-4E7A,92A7,92A7,E4B4,銧
02-4E7B,927E,927E,E4B5,鉾
02-4E7C,9287,9287,E4B6,銇
02-4E7D,92A9,92A9,E4B7,銩
02-4E7E,929D,929D,E4B8,銝
02-4F26,9758,9758,E4BE,靘
02-4F27,977D,977D,E4BF,靽
02-4F28,977A,977A,E4C0,靺
02-4F2B,9780,9780,E4C3,鞀
02-4F30,977F,977F,E4C8,靿
02-4F36,9902,9902,E4CE,餂
02-4F37,9900,9900,E4CF,餀
02-4F38,9907,9907,E4D0,餇
02-4F3B,99C3,99C3,E4D3,駃
02-4F40,99BD,99BD,E4D8,馽
02-4F42,9AB1,9AB1,E4DA,骱
02-4F46,9B3F,9B3F,E4DE,鬿
02-4F47,9B60,9B60,E4DF,魠
02-4F4B,9CF2,9CF2,E4E3,鳲
02-4F4D,9EA7,9EA7,E4E5,麧
02-4F51,50F8,50F8,E4E9,僸
02-4F53,5107,5107,E4EB,儇
02-4F54,50F6,50F6,E4EC,僶
02-4F55,50FE,50FE,E4ED,僾
02-4F58,50FD,50FD,E4F0,僽
02-4F59,510A,510A,E4F1,儊
02-4F5A,528B,528B,E4F2,劋
02-4F5B,528C,528C,E4F3,劌
02-4F5C,52F1,52F1,E4F4,勱
02-4F5E,5648,5648,E4F6,噈
02-4F5F,5642,5642,E4F7,噂
02-4F63,564A,564A,E4FB,噊
02-4F64,5649,5649,E4FC,噉
02-4F66,5658,5658,E4FE,噘
02-4F67,565A,565A,E540,噚
02-4F68,5640,5640,E541,噀
02-4F69,5633,5633,E542,嘳
02-4F6A,563D,563D,E543,嘽
02-4F6B,562C,562C,E544,嘬
02-4F6F,563A,563A,E548,嘺
02-4F76,58AF,58AF,E54F,墯
02-4F77,58AC,58AC,E550,墬
02-4F78,58A5,58A5,E551,墥
02-4F7B,5AFF,5AFF,E554,嫿
02-5021,5AF6,5AF6,E558,嫶
02-5024,5B02,5B02,E55B,嬂
02-5025,5AF9,5AF9,E55C,嫹
02-5028,5B05,5B05,E55F,嬅
02-502A,5C67,5C67,E561,屧
02-502C,5D97,5D97,E563,嶗
02-502D,5D9F,5D9F,E564,嶟
02-5030,5D93,5D93,E567,嶓
02-5031,5D95,5D95,E568,嶕
02-5032,5DA0,5DA0,E569,嶠
02-5034,5DA1,5DA1,E56B,嶡
02-5035,5D9A,5D9A,E56C,嶚
02-5038,5E5D,5E5D,E56F,幝
02-503A,5E5C,5E5C,E571,幜
02-503B,7DF3,7DF3,E572,緳
02-503C,5EDB,5EDB,E573,廛
02-503D,5EDE,5EDE,E574,廞
02-503E,5EE1,5EE1,E575,廡
02-5040,5FB2,5FB2,E577,徲
02-5042,6183,6183,E579,憃
02-5046,61A2,61A2,E57D,憢
02-5047,6189,6189,E57E,憉
02-5048,619B,619B,E5A1,憛
02-5049,6193,6193,E5A2,憓
02-504B,61AD,61AD,E5A4,憭
02-504E,61AA,61AA,E5A7,憪
02-504F,61A1,61A1,E5A8,憡
02-5051,6166,6166,E5AA,慦
02-5053,622D,622D,E5AC,戭
02-5055,6470,6470,E5AE,摰
02-5059,6497,6497,E5B2,撗
02-505A,649C,649C,E5B3,撜
02-505C,648B,648B,E5B5,撋
02-505D,648A,648A,E5B6,撊
02-5060,649F,649F,E5B9,撟
02-5062,64B1,64B1,E5BB,撱
02-5064,6576,6576,E5BD,敶
02-5065,657A,657A,E5BE,敺
02-5068,65B2,65B2,E5C1,斲
02-506A,66B5,66B5,E5C3,暵
02-506B,66B0,66B0,E5C4,暰
02-506D,66B2,66B2,E5C6,暲
02-506E,66B7,66B7,E5C7,暷
02-5070,66AF,66AF,E5C9,暯
02-5072,6A06,6A06,E5CB,樆
02-5076,6A15,6A15,E5CF,樕
02-5077,69F1,69F1,E5D0,槱
02-5078,69E4,69E4,E5D1,槤
02-5079,6A20,6A20,E5D2,樠
02-507B,69EC,69EC,E5D4,槬
02-507E,6A1D,6A1D,E5D7,樝
02-5121,69FE,69FE,E5D8,槾
02-5126,69F7,69F7,E5DD,槷
02-5128,6A40,6A40,E5DF,橀
02-5129,6A08,6A08,E5E0,樈
02-512F,6A09,6A09,E5E6,樉
02-5131,6A18,6A18,E5E8,樘
02-5136,6A07,6A07,E5ED,樇
02-5138,6A16,6A16,E5EF,樖
02-513F,6C00,6C00,E5F6,氀
02-5140,6BFF,6BFF,E5F7,毿
02-5142,6F41,6F41,E5F9,潁
02-5144,6F7E,6F7E,E5FB,潾
02-5145,6F87,6F87,E5FC,澇
02-514A,6F8C,6F8C,E642,澌
02-514B,6F62,6F62,E643,潢
02-514C,6F4F,6F4F,E644,潏
02-514D,6F85,6F85,E645,澅
02-514E,6F5A,6F5A,E646,潚
02-514F,6F96,6F96,E647,澖
02-5150,6F76,6F76,E648,潶
02-5151,6F6C,6F6C,E649,潬
02-5153,6F55,6F55,E64B,潕
02-5156,6F50,6F50,E64E,潐
02-5157,6F57,6F57,E64F,潗
02-5158,6F94,6F94,E650,澔
02-5159,6F93,6F93,E651,澓
02-515C,6F61,6F61,E654,潡
02-5161,6F53,6F53,E659,潓
02-5162,6F8B,6F8B,E65A,澋
02-5164,6F7F,6F7F,E65C,潿
02-5166,6F63,6F63,E65E,潣
02-5168,6F6A,6F6A,E660,潪
02-516F,719A,719A,E667,熚
02-5170,71A9,71A9,E668,熩
02-5172,719D,719D,E66A,熝
02-5174,719E,719E,E66C,熞
02-5175,71A4,71A4,E66D,熤
02-517A,71B3,71B3,E672,熳
02-517B,7298,7298,E673,犘
02-517C,729A,729A,E674,犚
02-517D,7358,7358,E675,獘
02-517E,7352,7352,E676,獒
02-5221,735E,735E,E677,獞
02-5222,735F,735F,E678,獟
02-5224,735D,735D,E67A,獝
02-5228,7359,7359,E67E,獙
02-522C,748A,748A,E6A4,璊
02-522F,747D,747D,E6A7,瑽
02-5231,7488,7488,E6A9,璈
02-5232,747C,747C,E6AA,瑼
02-5233,7479,7479,E6AB,瑹
02-5234,7508,7508,E6AC,甈
02-5238,761E,761E,E6B0,瘞
02-523C,7623,7623,E6B4,瘣
02-523F,761B,761B,E6B7,瘛
02-5240,769C,769C,E6B8,皜
02-5241,769D,769D,E6B9,皝
02-5243,769B,769B,E6BB,皛
02-5245,778F,778F,E6BD,瞏
02-5247,7788,7788,E6BF,瞈
02-524A,78CF,78CF,E6C2,磏
02-524B,78CC,78CC,E6C3,磌
02-524C,78D1,78D1,E6C4,磑
02-524D,78CE,78CE,E6C5,磎
02-524E,78D4,78D4,E6C6,磔
02-5250,78C3,78C3,E6C8,磃
02-5252,78C9,78C9,E6CA,磉
02-5254,79A1,79A1,E6CC,禡
02-5256,799C,799C,E6CE,禜
02-5258,799B,799B,E6D0,禛
02-5259,6B76,6B76,E6D1,歶
02-525B,7AB2,7AB2,E6D3,窲
02-525D,7AB3,7AB3,E6D5,窳
02-525E,7BB7,7BB7,E6D6,箷
02-525F,7BCB,7BCB,E6D7,篋
02-5261,7BAC,7BAC,E6D9,箬
02-5263,7BAF,7BAF,E6DB,箯
02-5264,7BB9,7BB9,E6DC,箹
02-5268,7CC8,7CC8,E6E0,糈
02-526C,7DDB,7DDB,E6E4,緛
02-5270,7DE1,7DE1,E6E8,緡
02-5271,7E03,7E03,E6E9,縃
02-5273,7DE6,7DE6,E6EB,緦
02-5275,7DF1,7DF1,E6ED,緱
02-5277,7DEE,7DEE,E6EF,緮
02-527A,7FAC,7FAC,E6F2,羬
02-527B,7FB0,7FB0,E6F3,羰
02-527C,7FAD,7FAD,E6F4,羭
02-527D,7FED,7FED,E6F5,翭
02-527E,7FEB,7FEB,E6F6,翫
02-5321,7FEA,7FEA,E6F7,翪
02-5324,7FE8,7FE8,E6FA,翨
02-5328,819F,819F,E6FE,膟
02-5329,819E,819E,E740,膞
02-532A,8195,8195,E741,膕
02-532C,8199,8199,E743,膙
02-5331,8252,8252,E748,艒
02-5334,8251,8251,E74B,艑
02-5338,8500,8500,E74F,蔀
02-5339,8529,8529,E750,蔩
02-533A,850E,850E,E751,蔎
02-533C,850D,850D,E753,蔍
02-5340,851C,851C,E757,蔜
02-5343,84FA,84FA,E75A,蓺
02-5345,850C,850C,E75C,蔌
02-5346,84F4,84F4,E75D,蓴
02-534B,84EB,84EB,E762,蓫
02-534D,84FC,84FC,E764,蓼
